package,owner,shallow,deep
Miletus,JuliaComputing,"[""ForwardDiff"", ""Optim"", ""BusinessDays"", ""StatsBase"", ""StatsFuns"", ""SpecialFunctions"", ""Reexport""]","[""OrderedCollections"", ""DataStructures"", ""Compat"", ""Calculus"", ""CompilerSupportLibraries_jll"", ""Requires"", ""OpenSpecFun_jll"", ""Missings"", ""ArrayInterface"", ""SortingAlgorithms"", ""FiniteDiff"", ""CommonSubexpressions"", ""Rmath_jll"", ""NLSolversBase"", ""StaticArrays"", ""DataAPI"", ""BinDeps"", ""PositiveFactorizations"", ""Parameters"", ""DiffEqDiffTools"", ""NaNMath"", ""URIParser"", ""Rmath"", ""BinaryProvider"", ""DiffResults"", ""LineSearches"", ""DiffRules"", ""FillArrays""]"
Mill,pevnak,"[""Duff"", ""HierarchicalUtils"", ""MLDataPattern"", ""Combinatorics"", ""JSON"", ""DataStructures"", ""Flux"", ""Zygote"", ""JLD2"", ""DataFrames"", ""LearnBase""]","[""TableTraits"", ""ConstructionBase"", ""RecipesBase"", ""AbstractFFTs"", ""IRTools"", ""FixedPointNumbers"", ""ArrayLayouts"", ""PooledArrays"", ""LLVM"", ""Polynomials"", ""CUDAnative"", ""FileIO"", ""MKL_jll"", ""FFTW_jll"", ""CommonSubexpressions"", ""StatsBase"", ""Parsers"", ""Zlib_jll"", ""Colors"", ""MacroTools"", ""NamedTuples"", ""Setfield"", ""FillArrays"", ""Arpack"", ""Juno"", ""OrderedCollections"", ""Compat"", ""CuArrays"", ""Adapt"", ""ZipFile"", ""Media"", ""ColorTypes"", ""GPUArrays"", ""SortingAlgorithms"", ""CSTParser"", ""URIParser"", ""OpenBLAS_jll"", ""DataFlow"", ""BinaryProvider"", ""Roots"", ""MappedArrays"", ""DataValueInterfaces"", ""ZygoteRules"", ""Arpack_jll"", ""AbstractTrees"", ""InvertedIndices"", ""Lazy"", ""IteratorInterfaceExtensions"", ""CUDAapi"", ""CEnum"", ""SpecialFunctions"", ""Requires"", ""Distributions"", ""OpenSpecFun_jll"", ""Missings"", ""PDMats"", ""CUDAdrv"", ""StaticArrays"", ""NaNMath"", ""HypothesisTests"", ""Rmath"", ""Tokenize"", ""VersionParsing"", ""DiffRules"", ""FFTW"", ""ForwardDiff"", ""CategoricalArrays"", ""GZip"", ""StatsFuns"", ""MLLabelUtils"", ""CompilerSupportLibraries_jll"", ""TranscodingStreams"", ""TimerOutputs"", ""CodecZlib"", ""Tracker"", ""IntelOpenMP_jll"", ""Conda"", ""WeakRefStrings"", ""Rmath_jll"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""NNlib"", ""Reexport"", ""DataStreams"", ""DiffResults"", ""Tables"", ""Crayons""]"
Millboard,wookay,"[""Compat""]",String[]
Mimi,mimiframework,"[""Documenter"", ""LightGraphs"", ""Distributions"", ""CSVFiles"", ""MetaGraphs"", ""VegaLite"", ""TableTraits"", ""Query"", ""IterTools"", ""NamedArrays"", ""IteratorInterfaceExtensions"", ""Compose"", ""JSON"", ""DataStructures"", ""StatsBase"", ""StringBuilders"", ""ProgressMeter"", ""GraphPlot"", ""MacroTools"", ""FileIO"", ""GlobalSensitivityAnalysis"", ""ExcelFiles"", ""DataFrames"", ""Electron"", ""FilePaths"", ""IterableTables""]","[""ConstructionBase"", ""ExcelReaders"", ""DoubleFloats"", ""ColorVectorSpace"", ""RecipesBase"", ""Xorg_libxcb_jll"", ""AbstractFFTs"", ""PooledArrays"", ""FixedPointNumbers"", ""Xorg_inputproto_jll"", ""Combinatorics"", ""BufferedStreams"", ""Polynomials"", ""ImageCore"", ""Gettext_jll"", ""MKL_jll"", ""Xorg_kbproto_jll"", ""IntervalSets"", ""Zlib_jll"", ""Quadmath"", ""Libcroco_jll"", ""FilePathsBase"", ""FillArrays"", ""Xorg_libXdmcp_jll"", ""Rsvg"", ""Libz"", ""PaddedViews"", ""Pango_jll"", ""Arpack"", ""Juno"", ""OrderedCollections"", ""FreeType2_jll"", ""ImageFiltering"", ""Compat"", ""EzXML"", ""HTTPClient"", ""Graphite2_jll"", ""ZipFile"", ""FriBidi_jll"", ""Media"", ""ColorTypes"", ""Inflate"", ""PCRE_jll"", ""FFTViews"", ""Librsvg_jll"", ""XML2_jll"", ""XLSX"", ""TiledIteration"", ""Xorg_xcb_proto_jll"", ""Homebrew"", ""InvertedIndices"", ""IndirectArrays"", ""Requires"", ""Cairo_jll"", ""Missings"", ""TextParse"", ""Xorg_xproto_jll"", ""Libgpg_error_jll"", ""StaticArrays"", ""RangeArrays"", ""XSLT_jll"", ""AccurateArithmetic"", ""Tokenize"", ""LibCURL"", ""VersionParsing"", ""Bzip2_jll"", ""OffsetArrays"", ""EllipsisNotation"", ""CategoricalArrays"", ""NodeJS"", ""StatsFuns"", ""Measures"", ""JLD2"", ""Cairo"", ""TranscodingStreams"", ""CodecZlib"", ""ArnoldiMethod"", ""SIMDPirates"", ""MbedTLS"", ""IntelOpenMP_jll"", ""Rmath_jll"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""Reexport"", ""GenericLinearAlgebra"", ""JpegTurbo_jll"", ""ImageMetadata"", ""LZO_jll"", ""ImageMagick_jll"", ""VectorizationBase"", ""QuartzImageIO"", ""HarfBuzz_jll"", ""VisualRegressionTests"", ""Libiconv_jll"", ""FFTW_jll"", ""Xorg_renderproto_jll"", ""Libuuid_jll"", ""Parsers"", ""Graphics"", ""Xorg_libXrender_jll"", ""Colors"", ""Glib_jll"", ""NamedTuples"", ""Sobol"", ""DataValues"", ""Setfield"", ""CustomUnitRanges"", ""Nullables"", ""Expat_jll"", ""Zstd_jll"", ""MbedTLS_jll"", ""Xorg_libXext_jll"", ""Xorg_util_macros_jll"", ""SortingAlgorithms"", ""Xorg_xtrans_jll"", ""TableShowUtils"", ""PyCall"", ""X11_jll"", ""CSTParser"", ""URIParser"", ""OpenBLAS_jll"", ""BinaryProvider"", ""CpuId"", ""Fontconfig_jll"", ""MappedArrays"", ""DataValueInterfaces"", ""Arpack_jll"", ""QueryOperators"", ""ImageMagick"", ""GenericSchur"", ""SpecialFunctions"", ""Xorg_libXau_jll"", ""OpenSpecFun_jll"", ""CatIndices"", ""ImageAxes"", ""Libffi_jll"", ""PDMats"", ""WinRPM"", ""JSONSchema"", ""DocStringExtensions"", ""Xorg_xextproto_jll"", ""TableTraitsUtils"", ""NaNMath"", ""Rmath"", ""Pixman_jll"", ""libpng_jll"", ""FFTW"", ""HTTP"", ""AxisArrays"", ""Libgcrypt_jll"", ""gdk_pixbuf_jll"", ""CompilerSupportLibraries_jll"", ""Xorg_libpthread_stubs_jll"", ""LibExpat"", ""GenericSVD"", ""SimpleTraits"", ""Conda"", ""WeakRefStrings"", ""Xorg_libX11_jll"", ""DataStreams"", ""IniFile"", ""Libtiff_jll"", ""Tables"", ""ComputationalResources""]"
MinAtar,mkschleg,"[""Conda"", ""RecipesBase"", ""Colors"", ""PyCall""]","[""Tokenize"", ""FixedPointNumbers"", ""WeakRefStrings"", ""OrderedCollections"", ""Missings"", ""JSON"", ""DataStructures"", ""VersionParsing"", ""Compat"", ""ColorTypes"", ""MacroTools"", ""DataAPI"", ""CSTParser"", ""Parsers"", ""Reexport""]"
Mineos_jll,JuliaBinaryWrappers,String[],String[]
MiniLogging,colinfang,String[],String[]
MiniQhull,gridap,"[""CMake""]","[""BinDeps"", ""Compat"", ""URIParser""]"
MinimalRLCore,mkschleg,"[""StatsBase"", ""Lazy""]","[""DataStructures"", ""Compat"", ""Tokenize"", ""SortingAlgorithms"", ""MacroTools"", ""DataAPI"", ""OrderedCollections"", ""CSTParser"", ""Missings""]"
Minuit2_jll,JuliaBinaryWrappers,String[],String[]
MirrorUpdater,UnofficialJuliaMirror,"[""TimeZones"", ""Coverage"", ""Conda"", ""GitHub"", ""HTTP"", ""JSON"", ""MbedTLS"", ""ArgParse""]","[""Mocking"", ""WeakRefStrings"", ""TextWrap"", ""Nullables"", ""Compat"", ""EzXML"", ""CoverageTools"", ""XML2_jll"", ""DataAPI"", ""BinDeps"", ""Parsers"", ""ExprTools"", ""URIParser"", ""Zlib_jll"", ""BinaryProvider"", ""Missings"", ""IniFile"", ""VersionParsing"", ""Git"", ""MbedTLS_jll"", ""Libiconv_jll"", ""Homebrew""]"
MirroredArrayViews,slmcbane,String[],String[]
Missings,JuliaData,"[""DataAPI""]",String[]
MittagLeffler,jlapeyre,"[""QuadGK"", ""SpecialFunctions""]","[""DataStructures"", ""Compat"", ""Polynomials"", ""BinaryProvider"", ""OpenSpecFun_jll"", ""RecipesBase"", ""BinDeps"", ""OrderedCollections"", ""CompilerSupportLibraries_jll"", ""URIParser""]"
MixFit,the-sushi,String[],String[]
MixedModels,JuliaStats,"[""Showoff"", ""StatsModels"", ""Distributions"", ""NamedArrays"", ""NLopt"", ""StatsBase"", ""Compat"", ""Tables"", ""CategoricalArrays"", ""BlockDiagonals"", ""ProgressMeter"", ""StatsFuns"", ""TypedTables"", ""StaticArrays"", ""BlockArrays"", ""DataFrames"", ""ArgCheck"", ""GLM""]","[""TableTraits"", ""InvertedIndices"", ""IteratorInterfaceExtensions"", ""MathProgBase"", ""RecipesBase"", ""SpecialFunctions"", ""Requires"", ""OpenSpecFun_jll"", ""PooledArrays"", ""Missings"", ""Combinatorics"", ""Polynomials"", ""PDMats"", ""Parsers"", ""Parameters"", ""Indexing"", ""Zlib_jll"", ""Rmath"", ""Tokenize"", ""CMake"", ""MacroTools"", ""NamedTuples"", ""RecursiveArrayTools"", ""FillArrays"", ""Arpack"", ""OffsetArrays"", ""OrderedCollections"", ""DataStructures"", ""CompilerSupportLibraries_jll"", ""Dictionaries"", ""TranscodingStreams"", ""CodecZlib"", ""ArrayInterface"", ""SortingAlgorithms"", ""WeakRefStrings"", ""JSON"", ""Rmath_jll"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""Reexport"", ""CMakeWrapper"", ""URIParser"", ""ShiftedArrays"", ""DataStreams"", ""OpenBLAS_jll"", ""BinaryProvider"", ""DataValueInterfaces"", ""SplitApplyCombine"", ""ZygoteRules"", ""Arpack_jll""]"
MixedSubdivisions,saschatimme,"[""StaticArrays"", ""MultivariatePolynomials"", ""ProgressMeter""]","[""DataStructures"", ""OrderedCollections"", ""MutableArithmetics""]"
Mixers,rafaqz,"[""MacroTools""]","[""DataStructures"", ""Compat"", ""CSTParser"", ""OrderedCollections"", ""Tokenize""]"
Mocking,invenia,"[""Compat"", ""ExprTools""]",String[]
ModelBasedCF,JuliaRecsys,"[""Persa"", ""ProgressMeter""]","[""DataStreams"", ""Zlib_jll"", ""SortingAlgorithms"", ""BinaryProvider"", ""TableTraits"", ""PooledArrays"", ""WeakRefStrings"", ""InvertedIndices"", ""OrderedCollections"", ""Missings"", ""IteratorInterfaceExtensions"", ""DataValueInterfaces"", ""CodecZlib"", ""JSON"", ""StatsBase"", ""DataStructures"", ""Compat"", ""Tables"", ""CategoricalArrays"", ""DataAPI"", ""NamedTuples"", ""DataFrames"", ""Parsers"", ""Requires"", ""Reexport"", ""TranscodingStreams""]"
ModelConstructors,FRBNY-DSGE,"[""ForwardDiff"", ""Distributions"", ""OrderedCollections"", ""Nullables"", ""DataFrames"", ""SpecialFunctions""]","[""Arpack"", ""TableTraits"", ""InvertedIndices"", ""IteratorInterfaceExtensions"", ""DataStructures"", ""Compat"", ""CategoricalArrays"", ""StatsFuns"", ""RecipesBase"", ""CompilerSupportLibraries_jll"", ""Requires"", ""TranscodingStreams"", ""OpenSpecFun_jll"", ""PooledArrays"", ""Missings"", ""CodecZlib"", ""Polynomials"", ""PDMats"", ""SortingAlgorithms"", ""WeakRefStrings"", ""CommonSubexpressions"", ""JSON"", ""StatsBase"", ""Rmath_jll"", ""QuadGK"", ""StaticArrays"", ""DataAPI"", ""BinDeps"", ""Parsers"", ""Reexport"", ""NaNMath"", ""URIParser"", ""DataStreams"", ""Zlib_jll"", ""OpenBLAS_jll"", ""Rmath"", ""BinaryProvider"", ""DiffResults"", ""DataValueInterfaces"", ""Tables"", ""DiffRules"", ""Arpack_jll"", ""NamedTuples"", ""FillArrays""]"
ModelSanitizer,bcbi,Any[],Any[]
ModelSelection,ParallelGSReg,"[""CSV"", ""InfoZIP"", ""Distributions"", ""ShiftedArrays"", ""ZipFile"", ""StatsPlots"", ""StatPlots"", ""KernelDensity"", ""Plots"", ""SingularSpectrumAnalysis"", ""GLMNet"", ""DataFrames"", ""Mustache""]","[""AxisAlgorithms"", ""TableTraits"", ""Widgets"", ""Clustering"", ""RecipesBase"", ""AbstractFFTs"", ""PooledArrays"", ""ArrayLayouts"", ""FixedPointNumbers"", ""InternedStrings"", ""Opus_jll"", ""Polynomials"", ""MKL_jll"", ""FFTW_jll"", ""FFMPEG_jll"", ""CommonSubexpressions"", ""StatsBase"", ""libass_jll"", ""Ogg_jll"", ""Parsers"", ""Zlib_jll"", ""glmnet_jll"", ""NearestNeighbors"", ""x264_jll"", ""libvorbis_jll"", ""Colors"", ""MacroTools"", ""FilePathsBase"", ""NamedTuples"", ""RecursiveArrayTools"", ""DataValues"", ""FillArrays"", ""Arpack"", ""OrderedCollections"", ""FreeType2_jll"", ""Nullables"", ""LazyArrays"", ""DataStructures"", ""Compat"", ""Showoff"", ""FriBidi_jll"", ""ColorTypes"", ""OpenSSL_jll"", ""Contour"", ""IterableTables"", ""Optim"", ""SortingAlgorithms"", ""PlotUtils"", ""WoodburyMatrices"", ""JSON"", ""x265_jll"", ""CSTParser"", ""URIParser"", ""OpenBLAS_jll"", ""BinaryProvider"", ""LineSearches"", ""DataValueInterfaces"", ""ZygoteRules"", ""Arpack_jll"", ""InvertedIndices"", ""IteratorInterfaceExtensions"", ""Calculus"", ""GeometryTypes"", ""libfdk_aac_jll"", ""SpecialFunctions"", ""Requires"", ""LibVPX_jll"", ""OpenSpecFun_jll"", ""Missings"", ""FFMPEG"", ""PlotThemes"", ""PDMats"", ""StaticArrays"", ""TableTraitsUtils"", ""PositiveFactorizations"", ""Parameters"", ""DiffEqDiffTools"", ""NaNMath"", ""Observables"", ""TotalLeastSquares"", ""Rmath"", ""Interpolations"", ""Tokenize"", ""TableOperations"", ""MultivariateStats"", ""VersionParsing"", ""Bzip2_jll"", ""DiffRules"", ""FFTW"", ""ForwardDiff"", ""OffsetArrays"", ""CategoricalArrays"", ""StatsFuns"", ""Measures"", ""CompilerSupportLibraries_jll"", ""TranscodingStreams"", ""GR"", ""DualNumbers"", ""CodecZlib"", ""ArrayInterface"", ""LAME_jll"", ""FiniteDiff"", ""IntelOpenMP_jll"", ""Conda"", ""WeakRefStrings"", ""Distances"", ""Rmath_jll"", ""NLSolversBase"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""Reexport"", ""DataStreams"", ""DiffResults"", ""IterTools"", ""Tables"", ""Ratios""]"
ModelingToolkit,JuliaDiffEq,"[""GeneralizedGenerated"", ""Latexify"", ""DiffRules"", ""DocStringExtensions"", ""MacroTools"", ""StaticArrays"", ""SpecialFunctions"", ""DiffEqBase"", ""NaNMath""]","[""RecursiveFactorization"", ""CanonicalTraits"", ""MuladdMacro"", ""TableTraits"", ""OrderedCollections"", ""TreeViews"", ""IteratorInterfaceExtensions"", ""DataStructures"", ""Compat"", ""RecipesBase"", ""CompilerSupportLibraries_jll"", ""MLStyle"", ""Requires"", ""FunctionWrappers"", ""OpenSpecFun_jll"", ""Missings"", ""Formatting"", ""LoggingExtras"", ""IterativeSolvers"", ""TerminalLoggers"", ""ArrayInterface"", ""ProgressMeter"", ""JuliaVariables"", ""ProgressLogging"", ""ConsoleProgressMonitor"", ""SimpleTraits"", ""PrettyPrint"", ""LegibleLambdas"", ""LeftChildRightSiblingTrees"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""NameResolution"", ""Parameters"", ""DiffEqDiffTools"", ""URIParser"", ""LinearMaps"", ""Tokenize"", ""BinaryProvider"", ""Roots"", ""Cassette"", ""LaTeXStrings"", ""ZygoteRules"", ""AbstractTrees"", ""NamedTuples"", ""ChainRulesCore"", ""RecursiveArrayTools""]"
ModernGL,JuliaGL,String[],String[]
ModernRoboticsBook,ferrolho,String[],String[]
Modia,ModiaSim,"[""ModiaMath"", ""JSON"", ""DataStructures"", ""Unitful"", ""StaticArrays""]","[""MuladdMacro"", ""TableTraits"", ""ConstructionBase"", ""InvertedIndices"", ""IteratorInterfaceExtensions"", ""RecipesBase"", ""DataFrames"", ""Requires"", ""PooledArrays"", ""Missings"", ""ProgressMeter"", ""ProgressLogging"", ""StatsBase"", ""DocStringExtensions"", ""Parsers"", ""Parameters"", ""DiffEqDiffTools"", ""DiffEqBase"", ""Zlib_jll"", ""Tokenize"", ""MacroTools"", ""NamedTuples"", ""ChainRulesCore"", ""RecursiveArrayTools"", ""RecursiveFactorization"", ""OrderedCollections"", ""TreeViews"", ""Compat"", ""CategoricalArrays"", ""TranscodingStreams"", ""FunctionWrappers"", ""LoggingExtras"", ""IterativeSolvers"", ""CodecZlib"", ""TerminalLoggers"", ""ArrayInterface"", ""Sundials"", ""ConsoleProgressMonitor"", ""SortingAlgorithms"", ""SimpleTraits"", ""WeakRefStrings"", ""LeftChildRightSiblingTrees"", ""DataAPI"", ""CSTParser"", ""Reexport"", ""DataStreams"", ""LinearMaps"", ""BinaryProvider"", ""Roots"", ""Cassette"", ""DataValueInterfaces"", ""ZygoteRules"", ""Tables"", ""AbstractTrees""]"
Modia3D,ModiaSim,"[""Unitful"", ""JSON"", ""StaticArrays"", ""DataStructures"", ""DataFrames"", ""ModiaMath""]","[""MuladdMacro"", ""TableTraits"", ""ConstructionBase"", ""InvertedIndices"", ""IteratorInterfaceExtensions"", ""RecipesBase"", ""Requires"", ""PooledArrays"", ""Missings"", ""ProgressMeter"", ""ProgressLogging"", ""StatsBase"", ""DocStringExtensions"", ""Parsers"", ""Parameters"", ""DiffEqDiffTools"", ""DiffEqBase"", ""Zlib_jll"", ""Tokenize"", ""MacroTools"", ""NamedTuples"", ""ChainRulesCore"", ""RecursiveArrayTools"", ""RecursiveFactorization"", ""OrderedCollections"", ""TreeViews"", ""Compat"", ""CategoricalArrays"", ""TranscodingStreams"", ""FunctionWrappers"", ""LoggingExtras"", ""CodecZlib"", ""IterativeSolvers"", ""TerminalLoggers"", ""ArrayInterface"", ""Sundials"", ""ConsoleProgressMonitor"", ""SortingAlgorithms"", ""SimpleTraits"", ""WeakRefStrings"", ""LeftChildRightSiblingTrees"", ""DataAPI"", ""CSTParser"", ""Reexport"", ""DataStreams"", ""LinearMaps"", ""BinaryProvider"", ""Roots"", ""Cassette"", ""DataValueInterfaces"", ""ZygoteRules"", ""Tables"", ""AbstractTrees""]"
ModiaMath,ModiaSim,"[""Unitful"", ""StaticArrays"", ""DataStructures"", ""DataFrames"", ""Sundials"", ""Requires""]","[""RecursiveFactorization"", ""MuladdMacro"", ""TableTraits"", ""ConstructionBase"", ""OrderedCollections"", ""InvertedIndices"", ""TreeViews"", ""IteratorInterfaceExtensions"", ""Compat"", ""CategoricalArrays"", ""RecipesBase"", ""TranscodingStreams"", ""FunctionWrappers"", ""PooledArrays"", ""Missings"", ""LoggingExtras"", ""CodecZlib"", ""IterativeSolvers"", ""TerminalLoggers"", ""ArrayInterface"", ""ProgressMeter"", ""ProgressLogging"", ""ConsoleProgressMonitor"", ""SortingAlgorithms"", ""SimpleTraits"", ""WeakRefStrings"", ""JSON"", ""StatsBase"", ""LeftChildRightSiblingTrees"", ""DocStringExtensions"", ""DataAPI"", ""CSTParser"", ""Parsers"", ""Parameters"", ""DiffEqDiffTools"", ""DiffEqBase"", ""Reexport"", ""DataStreams"", ""Zlib_jll"", ""LinearMaps"", ""Tokenize"", ""BinaryProvider"", ""Roots"", ""Cassette"", ""DataValueInterfaces"", ""ZygoteRules"", ""Tables"", ""MacroTools"", ""AbstractTrees"", ""NamedTuples"", ""ChainRulesCore"", ""RecursiveArrayTools""]"
ModifiedHankelFunctionsOfOrderOneThird,fgasdia,"[""StaticArrays"", ""Documenter"", ""SpecialFunctions""]","[""BinaryProvider"", ""OpenSpecFun_jll"", ""WeakRefStrings"", ""Missings"", ""JSON"", ""Compat"", ""DocStringExtensions"", ""DataAPI"", ""BinDeps"", ""CompilerSupportLibraries_jll"", ""Parsers"", ""URIParser""]"
Mods,scheinerman,String[],String[]
ModularForms,aghitza,"[""Nemo""]","[""AbstractAlgebra"", ""BinaryProvider""]"
ModularFormsModuloTwo,pauldubois98,"[""FileIO"", ""JLD2"", ""Primes"", ""PrettyTables""]","[""Zlib_jll"", ""BinaryProvider"", ""TableTraits"", ""OrderedCollections"", ""Formatting"", ""IteratorInterfaceExtensions"", ""DataValueInterfaces"", ""CodecZlib"", ""DataStructures"", ""Compat"", ""Tables"", ""Crayons"", ""DataAPI"", ""Parameters"", ""TranscodingStreams"", ""Reexport"", ""Requires""]"
ModularIndices,ericphanson,Any[],Any[]
ModuleInterfaceTools,JuliaString,String[],String[]
ModuleLogging,tk3369,"[""MacroTools""]","[""DataStructures"", ""Compat"", ""CSTParser"", ""OrderedCollections"", ""Tokenize""]"
MofonBase,immofon,Any[],Any[]
MolecularBoxes,tom--lee,"[""StaticArrays""]",String[]
MolecularGraph,mojaie,"[""Documenter"", ""coordgenlibs_jll"", ""IJulia"", ""YAML"", ""Cxx""]","[""BinaryProvider"", ""SoftGlobalScope"", ""Conda"", ""WeakRefStrings"", ""Missings"", ""ZMQ"", ""JSON"", ""Compat"", ""VersionParsing"", ""DocStringExtensions"", ""MbedTLS"", ""MbedTLS_jll"", ""DataAPI"", ""Parsers"", ""Codecs"", ""ZeroMQ_jll""]"
MolecularTopologies,tom--lee,String[],String[]
MolecularTrajectories,tom--lee,"[""StaticArrays"", ""MolecularBoxes""]",String[]
MomentOpt,lanl-ansi,"[""SumOfSquares"", ""OrderedCollections"", ""MultivariatePolynomials"", ""PolyJuMP"", ""SemialgebraicSets"", ""MathOptInterface"", ""JuMP""]","[""Calculus"", ""MathProgBase"", ""SpecialFunctions"", ""OpenSpecFun_jll"", ""MultivariateMoments"", ""Missings"", ""BufferedStreams"", ""WinRPM"", ""CommonSubexpressions"", ""JSONSchema"", ""StaticArrays"", ""Parsers"", ""NaNMath"", ""Zlib_jll"", ""LibCURL"", ""Bzip2_jll"", ""CodecBzip2"", ""DiffRules"", ""MultivariateBases"", ""Libz"", ""ForwardDiff"", ""HTTP"", ""DataStructures"", ""Compat"", ""HTTPClient"", ""CompilerSupportLibraries_jll"", ""Expat_jll"", ""TranscodingStreams"", ""LibExpat"", ""ReverseDiffSparse"", ""CodecZlib"", ""MbedTLS"", ""MbedTLS_jll"", ""BenchmarkTools"", ""WeakRefStrings"", ""JSON"", ""DataAPI"", ""BinDeps"", ""Reexport"", ""URIParser"", ""RowEchelon"", ""BinaryProvider"", ""DiffResults"", ""IniFile"", ""MutableArithmetics""]"
MonadFunctions,tk3369,Any[],Any[]
Monads,pao,Any[],Any[]
Mongoc,felipenoris,"[""BinaryProvider""]",String[]
MonteCarloIntegration,ranjanan,"[""Distributions""]","[""PDMats"", ""SortingAlgorithms"", ""Arpack"", ""OrderedCollections"", ""StatsBase"", ""DataStructures"", ""Compat"", ""Rmath_jll"", ""StatsFuns"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""RecipesBase"", ""CompilerSupportLibraries_jll"", ""SpecialFunctions"", ""URIParser"", ""OpenBLAS_jll"", ""Rmath"", ""BinaryProvider"", ""OpenSpecFun_jll"", ""Missings"", ""Polynomials"", ""Arpack_jll"", ""FillArrays""]"
MonteCarloMarkovKernels,awllee,"[""StaticArrays"", ""KernelDensity"", ""Compat"", ""ProgressMeter""]","[""AxisAlgorithms"", ""Calculus"", ""RecipesBase"", ""SpecialFunctions"", ""Requires"", ""AbstractFFTs"", ""Distributions"", ""OpenSpecFun_jll"", ""Missings"", ""Polynomials"", ""MKL_jll"", ""PDMats"", ""FFTW_jll"", ""CommonSubexpressions"", ""StatsBase"", ""PositiveFactorizations"", ""Parsers"", ""Parameters"", ""DiffEqDiffTools"", ""NaNMath"", ""Rmath"", ""Interpolations"", ""VersionParsing"", ""DiffRules"", ""FillArrays"", ""FFTW"", ""ForwardDiff"", ""Arpack"", ""OffsetArrays"", ""OrderedCollections"", ""DataStructures"", ""StatsFuns"", ""CompilerSupportLibraries_jll"", ""DualNumbers"", ""ArrayInterface"", ""Optim"", ""SortingAlgorithms"", ""FiniteDiff"", ""IntelOpenMP_jll"", ""Conda"", ""WeakRefStrings"", ""WoodburyMatrices"", ""JSON"", ""Rmath_jll"", ""NLSolversBase"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""Reexport"", ""URIParser"", ""OpenBLAS_jll"", ""BinaryProvider"", ""LineSearches"", ""DiffResults"", ""Arpack_jll"", ""Ratios""]"
MonteCarloMeasurements,baggepinnen,"[""Distributions"", ""GenericLinearAlgebra"", ""Lazy"", ""StatsBase"", ""MacroTools"", ""StaticArrays"", ""RecipesBase"", ""Requires"", ""Reexport""]","[""PDMats"", ""SortingAlgorithms"", ""Arpack"", ""OrderedCollections"", ""DataStructures"", ""Compat"", ""Rmath_jll"", ""StatsFuns"", ""QuadGK"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""CompilerSupportLibraries_jll"", ""SpecialFunctions"", ""URIParser"", ""OpenBLAS_jll"", ""Rmath"", ""Tokenize"", ""BinaryProvider"", ""OpenSpecFun_jll"", ""Missings"", ""Polynomials"", ""Arpack_jll"", ""FillArrays""]"
MonteCarloObservable,crstnbr,"[""JLD"", ""EllipsisNotation"", ""Lazy"", ""StatsBase"", ""HDF5"", ""BinningAnalysis"", ""PyPlot"", ""Reexport""]","[""Libz"", ""HTTP"", ""LegacyStrings"", ""OrderedCollections"", ""DataStructures"", ""Compat"", ""HTTPClient"", ""RecipesBase"", ""Requires"", ""Expat_jll"", ""Blosc"", ""LibExpat"", ""FixedPointNumbers"", ""Missings"", ""ColorTypes"", ""BufferedStreams"", ""ArrayInterface"", ""MbedTLS"", ""FileIO"", ""MbedTLS_jll"", ""SortingAlgorithms"", ""WinRPM"", ""Conda"", ""WeakRefStrings"", ""PyCall"", ""HDF5_jll"", ""JSON"", ""StaticArrays"", ""DataAPI"", ""BinDeps"", ""CSTParser"", ""Parsers"", ""Parameters"", ""URIParser"", ""CMakeWrapper"", ""Zlib_jll"", ""Tokenize"", ""BinaryProvider"", ""IniFile"", ""LaTeXStrings"", ""CMake"", ""LibCURL"", ""ZygoteRules"", ""VersionParsing"", ""Colors"", ""MacroTools"", ""RecursiveArrayTools"", ""Homebrew""]"
MortalityTables,JuliaActuary,"[""OffsetArrays"", ""DataStructures"", ""ProgressMeter"", ""XMLDict""]","[""Compat"", ""EzXML"", ""XML2_jll"", ""Zlib_jll"", ""BinaryProvider"", ""IterTools"", ""OrderedCollections"", ""Libiconv_jll""]"
Mortar2D,JuliaFEM,String[],String[]
MortarContact2D,JuliaFEM,"[""FEMBase""]","[""ForwardDiff"", ""SIMD"", ""CommonSubexpressions"", ""Compat"", ""Tensors"", ""Calculus"", ""StaticArrays"", ""BinDeps"", ""CompilerSupportLibraries_jll"", ""SpecialFunctions"", ""NaNMath"", ""URIParser"", ""BinaryProvider"", ""TimerOutputs"", ""OpenSpecFun_jll"", ""DiffResults"", ""DiffRules"", ""Crayons"", ""FEMQuad"", ""FEMBasis""]"
